"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 04 00:49:28 GMT 2022","Sun Sep 04 00:49:28 GMT 2022","148","chromium","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:49:46 GMT 2022","Sun Sep 04 00:49:46 GMT 2022","310","firefox","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:49:25 GMT 2022","Sun Sep 04 00:49:27 GMT 2022","2508","chromium","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:49:41 GMT 2022","Sun Sep 04 00:49:45 GMT 2022","3616","firefox","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"failed","Sun Sep 04 00:50:09 GMT 2022","Sun Sep 04 00:50:12 GMT 2022","3467","firefox","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:49:47 GMT 2022","Sun Sep 04 00:49:47 GMT 2022","285","firefox","example.spec.ts","","","","basic test 77",""
"failed","Sun Sep 04 00:50:31 GMT 2022","Sun Sep 04 00:50:34 GMT 2022","3272","webkit","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:49:46 GMT 2022","Sun Sep 04 00:49:47 GMT 2022","295","firefox","example.spec.ts","","","","basic test 5",""
"failed","Sun Sep 04 00:50:41 GMT 2022","Sun Sep 04 00:50:44 GMT 2022","3228","webkit","example.spec.ts","","","","example test 2",""
"failed","Sun Sep 04 00:49:39 GMT 2022","Sun Sep 04 00:49:41 GMT 2022","1613","chromium","example.spec.ts","","","","example test 2",""
"passed","Sun Sep 04 00:50:24 GMT 2022","Sun Sep 04 00:50:24 GMT 2022","568","webkit","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:50:13 GMT 2022","Sun Sep 04 00:50:22 GMT 2022","8820","webkit","example.spec.ts","","","","homepage has Playwright in title and get started link linking to the intro page",""
"passed","Sun Sep 04 00:49:45 GMT 2022","Sun Sep 04 00:49:46 GMT 2022","298","firefox","example.spec.ts","","","","basic test 2",""
"failed","Sun Sep 04 00:49:33 GMT 2022","Sun Sep 04 00:49:35 GMT 2022","1732","chromium","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:49:27 GMT 2022","Sun Sep 04 00:49:27 GMT 2022","148","chromium","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:49:47 GMT 2022","Sun Sep 04 00:49:49 GMT 2022","1785","firefox","example.spec.ts","","","","basic tes88t",""
"failed","Sun Sep 04 00:49:56 GMT 2022","Sun Sep 04 00:50:00 GMT 2022","3386","firefox","example.spec.ts","","","","example test",""
"passed","Sun Sep 04 00:49:27 GMT 2022","Sun Sep 04 00:49:27 GMT 2022","146","chromium","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:50:25 GMT 2022","Sun Sep 04 00:50:26 GMT 2022","966","webkit","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:50:24 GMT 2022","Sun Sep 04 00:50:25 GMT 2022","435","webkit","example.spec.ts","","","","basic test 77",""
"passed","Sun Sep 04 00:50:22 GMT 2022","Sun Sep 04 00:50:23 GMT 2022","411","webkit","example.spec.ts","","","","basic test 2",""
"passed","Sun Sep 04 00:49:46 GMT 2022","Sun Sep 04 00:49:46 GMT 2022","312","firefox","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:49:27 GMT 2022","Sun Sep 04 00:49:28 GMT 2022","150","chromium","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:50:23 GMT 2022","Sun Sep 04 00:50:23 GMT 2022","420","webkit","example.spec.ts","","","","basic test 3",""
"passed","Sun Sep 04 00:49:47 GMT 2022","Sun Sep 04 00:49:47 GMT 2022","326","firefox","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:50:23 GMT 2022","Sun Sep 04 00:50:23 GMT 2022","349","webkit","example.spec.ts","","","","basic test 4",""
"passed","Sun Sep 04 00:50:23 GMT 2022","Sun Sep 04 00:50:24 GMT 2022","388","webkit","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:49:28 GMT 2022","Sun Sep 04 00:49:28 GMT 2022","245","chromium","example.spec.ts","","","","basic test 6",""
"passed","Sun Sep 04 00:49:28 GMT 2022","Sun Sep 04 00:49:29 GMT 2022","641","chromium","example.spec.ts","","","","basic tes88t",""
"passed","Sun Sep 04 00:49:45 GMT 2022","Sun Sep 04 00:49:45 GMT 2022","315","firefox","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:50:22 GMT 2022","Sun Sep 04 00:50:22 GMT 2022","389","webkit","example.spec.ts","","","","basic test",""
"passed","Sun Sep 04 00:49:28 GMT 2022","Sun Sep 04 00:49:28 GMT 2022","154","chromium","example.spec.ts","","","","basic test 5",""
"passed","Sun Sep 04 00:49:28 GMT 2022","Sun Sep 04 00:49:28 GMT 2022","157","chromium","example.spec.ts","","","","basic test 77",""
